,zat_ori,zat_des,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,Distances,Trips,s_ij,S_ij
242,67,298,16.0,452.0,32.0,967.0,9639.972448809125,1.0,5558.0,2791.0
243,339,298,21.0,452.0,44.0,967.0,3526.649880609908,1.0,4492.0,2253.0
244,91,298,6.0,452.0,12.0,967.0,7725.13453015778,2.0,5327.0,2676.0
245,456,298,21.0,452.0,41.0,967.0,6343.524259990665,2.0,4953.0,2490.0
246,187,298,7.0,452.0,16.0,967.0,6293.192485283597,2.0,3397.0,1704.0
247,281,298,13.0,452.0,26.0,967.0,3615.5044700339654,1.0,3640.0,1819.0
248,501,298,9.0,452.0,18.0,967.0,7434.504538397571,1.0,5029.0,2535.0
249,207,298,17.0,452.0,34.0,967.0,3710.1688862072415,2.0,2105.0,1060.0
250,145,298,10.0,452.0,20.0,967.0,7013.116797216313,2.0,5377.0,2697.0
251,247,298,20.0,452.0,40.0,967.0,4459.5542897936075,1.0,3711.0,1860.0
252,1144,298,10.0,452.0,21.0,967.0,3017.4197927113564,1.0,1742.0,873.0
253,221,298,9.0,452.0,18.0,967.0,2536.8603361408154,1.0,1609.0,802.0
254,395,298,14.0,452.0,28.0,967.0,4142.256474789421,2.0,4744.0,2380.0
255,453,298,10.0,452.0,19.0,967.0,6240.204837840611,1.0,4963.0,2498.0
256,306,298,5.0,452.0,10.0,967.0,4091.911511846253,1.0,2234.0,1120.0
257,343,298,4.0,452.0,8.0,967.0,5201.495463912692,1.0,5168.0,2593.0
258,87,298,12.0,452.0,23.0,967.0,9026.678021075835,2.0,5789.0,2907.0
259,329,298,3.0,452.0,6.0,967.0,2427.6867165828903,2.0,2128.0,1071.0
260,69,298,4.0,452.0,9.0,967.0,9692.463870848424,2.0,5544.0,2784.0
261,254,298,8.0,452.0,16.0,967.0,4182.008418608026,1.0,3684.0,1848.0
262,222,298,8.0,452.0,16.0,967.0,3325.8478736281954,2.0,2811.0,1411.0
263,246,298,9.0,452.0,18.0,967.0,4945.019158563917,2.0,4109.0,2061.0
264,101,298,2.0,452.0,4.0,967.0,7625.020918382348,2.0,5438.0,2733.0
265,346,298,5.0,452.0,10.0,967.0,5025.589668691752,1.0,4969.0,2493.0
266,374,298,6.0,452.0,13.0,967.0,3755.8591835136685,2.0,3162.0,1594.0
267,200,298,3.0,452.0,6.0,967.0,4841.193822668858,2.0,2908.0,1459.0
268,68,298,5.0,452.0,10.0,967.0,9158.64908692355,1.0,5529.0,2777.0
269,155,298,20.0,452.0,42.0,967.0,8953.984204437056,1.0,5729.0,2870.0
270,287,298,2.0,452.0,4.0,967.0,3154.911699312799,2.0,3653.0,1827.0
